County,State,Mask Mandate,Case per 100k,Case Change,Death Change,Positivity Rate
Androscoggin County  ME,Maine,Yes,349,0.88,-1,0.086,Restaurants status: Indoor dining allowed with restrictions
Sherburne County  MN,Minnesota,Yes,389,0.15,-1,0.109,Restaurants status: Dine-in allowed with restrictions
Scott County  IA,Iowa,No,217,0.03,2.5,0.12,Restaurants status: Dine-in allowed with restrictions
Washington County  OR,Oregon,Yes,62,0.14,2,0.041,Restaurants status: Dine-in allowed with restrictions
Clinton County  MI,Michigan,Yes,469,0.1,-1,0.139,Restaurants status: Dine-in allowed with restrictions
Davis County  UT,Utah,Yes,104,0.31,-0.5,0.059,"Restaurants status: Dine-in allowed without restrictions, but note that some cities may enact their own restrictions."
Matanuska-Susitna Borough  AK,Alaska,No,342,-0.05,-1,0.086,Restaurants status: Dine-in allowed without restrictions
Strafford County  NH,New Hampshire,Yes,282,0.33,-1,0.097,Restaurants status: Dine-in allowed without restrictions
Midland County  MI,Michigan,Yes,439,0.78,-0.33,0.144,Restaurants status: Dine-in allowed with restrictions
Clark County  WA,Washington,Yes,75,0.06,1.5,0.039,Restaurants status: Dine-in allowed with restrictions
Beaver County  PA,Pennsylvania,Yes,219,0.09,0.5,0.088,Restaurants status: Dine-in allowed without restrictions
Sanilac County  MI,Michigan,Yes,867,0.14,-0.75,0.315,Restaurants status: Dine-in allowed with restrictions
Durham County  NC,North Carolina,Yes,111,-0.09,-1,0.056,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
St. Louis County  MN,Minnesota,Yes,178,0.06,-1,0.056,Restaurants status: Dine-in allowed with restrictions
Horry County  SC,South Carolina,No,100,-0.24,0.33,0.059,Restaurants status: Indoor dining allowed with restrictions
Tippecanoe County  IN,Indiana,No,181,0.23,0,0.036,Restaurants status: Dine-in allowed with restrictions
Lexington County  SC,South Carolina,No,118,0.01,-0.62,0.039,Restaurants status: Indoor dining allowed with restrictions
Kanawha County  WV,West Virginia,Yes,198,-0.1,-0.71,0.086,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Clackamas County  OR,Oregon,Yes,84,0.12,-1,0.048,Restaurants status: Dine-in allowed with restrictions
Cumberland County  NC,North Carolina,Yes,104,-0.19,-1,0.1,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Cumberland County  PA,Pennsylvania,Yes,138,-0.03,0,0.045,Restaurants status: Dine-in allowed without restrictions
Hamilton County  IN,Indiana,No,103,-0.07,0,0.049,Restaurants status: Dine-in allowed with restrictions
Berkeley County  WV,West Virginia,Yes,290,-0.07,-0.6,0.108,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Gallatin County  MT,Montana,No,302,0.18,-1,0.116,"Restaurants status: Dine-in allowed without restrictions, but some cities may enact their own restrictions."
Cabarrus County  NC,North Carolina,Yes,159,-0.04,1.5,0.066,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Placer County  CA,California,Yes,87,0.25,-0.83,0.044,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Yakima County  WA,Washington,Yes,138,-0.03,2,0.121,Restaurants status: Dine-in allowed with restrictions
Montcalm County  MI,Michigan,Yes,535,0.53,-1,0.097,Restaurants status: Dine-in allowed with restrictions
Pueblo County  CO,Colorado,Yes,202,0.14,0,0.042,Restaurants status: Dine-in allowed with restrictions
Marion County  FL,Florida,No,93,0.03,0.62,0.071,Restaurants status: Dine-in allowed with restrictions
Merced County  CA,California,Yes,121,0.21,0.5,0.055,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Cherokee County  GA,Georgia,No,129,-0.24,-0.38,0.06,Restaurants status: Dine-in allowed with restrictions
Elkhart County  IN,Indiana,No,162,0.11,0,0.098,Restaurants status: Dine-in allowed with restrictions
Hamilton County  TN,Tennessee,No,90,-0.16,-0.67,0.068,Restaurants status: Dine-in allowed with restrictions
San Mateo County  CA,California,Yes,43,-0.03,2,0.009,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Grand Traverse County  MI,Michigan,Yes,353,0.26,2,0.169,Restaurants status: Dine-in allowed with restrictions
Charlotte County  FL,Florida,No,174,0.12,0,0.089,Restaurants status: Dine-in allowed with restrictions
Tulsa County  OK,Oklahoma,No,50,0.07,10,0.056,Restaurants status: Dine-in allowed without restrictions
Washoe County  NV,Nevada,Yes,69,0.23,1,0.097,Restaurants status: Dine-in allowed without restrictions
Clayton County  GA,Georgia,No,112,0.25,0,0.071,Restaurants status: Dine-in allowed with restrictions
Putnam County  NY,New York,Yes,333,-0.05,0,0.073,Restaurants status: Dine-in allowed with restrictions
Frederick County  MD,Maryland,Yes,124,-0.1,-0.5,0.083,Restaurants status: Dine-in allowed with restrictions
Weber County  UT,Utah,Yes,124,0.01,-0.83,0.049,"Restaurants status: Dine-in allowed without restrictions, but note that some cities may enact their own restrictions."
Norfolk city  VA,Virginia,Yes,133,-0.05,3,0.09,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Stark County  OH,Ohio,Yes,85,-0.1,-1,0.228,Restaurants status: Dine-in allowed with restrictions
Forsyth County  NC,North Carolina,Yes,82,0.02,0,0.036,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Lake County  OH,Ohio,Yes,137,0.27,-1,0.11,Restaurants status: Dine-in allowed with restrictions
Jefferson County  MO,Missouri,No,140,0.03,-1,0.093,Restaurants status: Indoor dining allowed with restrictions
Butler County  OH,Ohio,Yes,81,0.03,-1,0.122,Restaurants status: Dine-in allowed with restrictions
Franklin County  PA,Pennsylvania,Yes,199,0.1,2,0.088,Restaurants status: Dine-in allowed without restrictions
Huron County  MI,Michigan,Yes,994,0.15,-1,0.322,Restaurants status: Dine-in allowed with restrictions
Lycoming County  PA,Pennsylvania,Yes,268,0.02,0.5,0.091,Restaurants status: Dine-in allowed without restrictions
Hernando County  FL,Florida,No,155,0.2,0.5,0.132,Restaurants status: Dine-in allowed with restrictions
Sussex County  DE,Delaware,Yes,129,0.13,0,0.037,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Bayamón Municipio  PR,Puerto Rico,Yes,177,0.98,nan,0.29,
Montgomery County  TN,Tennessee,No,142,0.07,-0.5,0.112,Restaurants status: Dine-in allowed with restrictions
Newport News city  VA,Virginia,Yes,165,-0.15,0.5,0.116,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Fayette County  PA,Pennsylvania,Yes,229,0.42,0.67,0.097,Restaurants status: Dine-in allowed without restrictions
Alachua County  FL,Florida,No,109,-0.02,-1,0.037,Restaurants status: Dine-in allowed with restrictions
New London County  CT,Connecticut,Yes,111,-0.28,-1,0.022,Restaurants status: Dine-in allowed with restrictions
Erie County  PA,Pennsylvania,Yes,109,0.06,2,0.061,Restaurants status: Dine-in allowed without restrictions
Schuylkill County  PA,Pennsylvania,Yes,207,0.13,-0.5,0.118,Restaurants status: Dine-in allowed without restrictions
Chesapeake city  VA,Virginia,Yes,119,0.14,-0.67,0.09,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
St. Johns County  FL,Florida,No,110,-0.03,-1,0.043,Restaurants status: Dine-in allowed with restrictions
Lebanon County  PA,Pennsylvania,Yes,202,0.02,0,0.1,Restaurants status: Dine-in allowed without restrictions
Sumner County  TN,Tennessee,No,150,0.09,-0.75,0.094,Restaurants status: Dine-in allowed with restrictions
Richmond city  VA,Virginia,Yes,123,-0.15,5,0.059,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Merrimack County  NH,New Hampshire,Yes,187,0.23,-1,0.042,Restaurants status: Dine-in allowed without restrictions
Hays County  TX,Texas,No,122,0.46,1,0.07,Restaurants status: Dine-in allowed without restrictions
Warren County  NJ,New Jersey,Yes,267,-0.21,-0.75,0.095,Restaurants status: Dine-in allowed with restrictions
Middlesex County  CT,Connecticut,Yes,172,-0.1,-0.5,0.023,Restaurants status: Dine-in allowed with restrictions
Pickens County  SC,South Carolina,No,221,0.06,0.5,0.077,Restaurants status: Indoor dining allowed with restrictions
Henry County  GA,Georgia,No,119,-0.02,1.25,0.06,Restaurants status: Dine-in allowed with restrictions
Johnston County  NC,North Carolina,Yes,132,0.01,1,0.067,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Calcasieu Parish  LA,Louisiana,Yes,136,-0.17,-0.56,0.068,Restaurants status: Dine-in allowed with restrictions
East Baton Rouge Parish  LA,Louisiana,Yes,63,-0.15,-0.5,0.037,Restaurants status: Dine-in allowed with restrictions
Washington County  TN,Tennessee,No,210,0.13,-0.67,0.157,Restaurants status: Dine-in allowed with restrictions
San Francisco County  CA,California,Yes,31,0.11,0.58,0.01,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
New Hanover County  NC,North Carolina,Yes,115,-0.35,-1,0.061,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Forsyth County  GA,Georgia,No,110,-0.14,-0.5,0.045,Restaurants status: Dine-in allowed with restrictions
Mahoning County  OH,Ohio,Yes,117,0.07,-1,0.025,Restaurants status: Dine-in allowed with restrictions
Lane County  OR,Oregon,Yes,70,0.68,2,0.023,Restaurants status: Dine-in allowed with restrictions
Champaign County  IL,Illinois,Yes,127,0.04,-1,0.006,Restaurants status: Dine-in allowed with restrictions
Porter County  IN,Indiana,No,156,0.5,4,0.111,Restaurants status: Dine-in allowed with restrictions
Rensselaer County  NY,New York,Yes,166,-0.04,-1,0.048,Restaurants status: Dine-in allowed with restrictions
Dorchester County  SC,South Carolina,No,162,-0.01,0.5,0.063,Restaurants status: Indoor dining allowed with restrictions
Arlington County  VA,Virginia,Yes,111,-0.05,0.5,0.044,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Sullivan County  TN,Tennessee,No,165,-0.05,1,0.207,Restaurants status: Dine-in allowed with restrictions
Van Buren County  MI,Michigan,Yes,346,0.3,0.5,0.199,Restaurants status: Dine-in allowed with restrictions
Broome County  NY,New York,Yes,136,-0.27,0,0.05,Restaurants status: Dine-in allowed with restrictions
Delaware County  OH,Ohio,Yes,124,-0.13,-1,0.107,Restaurants status: Dine-in allowed with restrictions
Union County  NC,North Carolina,Yes,108,-0.32,-0.33,0.07,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Kennebec County  ME,Maine,Yes,211,0.39,-1,0.044,Restaurants status: Indoor dining allowed with restrictions
Unallocated  UT,Utah,Yes,nan,2.63,1,0.005,"Restaurants status: Dine-in allowed without restrictions, but note that some cities may enact their own restrictions."
Ionia County  MI,Michigan,Yes,397,0.44,-1,0.077,Restaurants status: Dine-in allowed with restrictions
Chatham County  GA,Georgia,No,88,0.46,-0.58,0.047,Restaurants status: Dine-in allowed with restrictions
Raleigh County  WV,West Virginia,Yes,346,-0.18,-0.6,0.138,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
St. Louis city  MO,Missouri,No,84,-0.05,-0.14,0.04,Restaurants status: Indoor dining allowed with restrictions
Cumberland County  NJ,New Jersey,Yes,169,0.02,0,0.042,Restaurants status: Dine-in allowed with restrictions
Crow Wing County  MN,Minnesota,Yes,386,0.66,-1,0.156,Restaurants status: Dine-in allowed with restrictions
Cambria County  PA,Pennsylvania,Yes,192,0.52,-1,0.06,Restaurants status: Dine-in allowed without restrictions
Jackson County  OR,Oregon,Yes,113,0.03,4,0.067,Restaurants status: Dine-in allowed with restrictions
Solano County  CA,California,Yes,56,-0.14,-0.93,0.019,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Sangamon County  IL,Illinois,Yes,128,-0.04,-1,0.03,Restaurants status: Dine-in allowed with restrictions
Outagamie County  WI,Wisconsin,No,132,0.07,-0.67,0.045,Restaurants status: Dine-in allowed with restrictions
Brown County  WI,Wisconsin,No,94,0.05,-1,0.051,Restaurants status: Dine-in allowed with restrictions
Maui County  HI,Hawaii,Yes,146,-0.04,0,0.036,Restaurants status: Dine-in allowed without restrictions
Marion County  OR,Oregon,Yes,70,0.41,0,0.046,Restaurants status: Dine-in allowed with restrictions
Williamson County  TN,Tennessee,No,102,-0.22,-0.5,0.091,Restaurants status: Dine-in allowed with restrictions
Warren County  OH,Ohio,Yes,104,0.09,-1,0.107,Restaurants status: Dine-in allowed with restrictions
Clearfield County  PA,Pennsylvania,Yes,308,-0.13,0,0.123,Restaurants status: Dine-in allowed without restrictions
Sullivan County  NY,New York,Yes,322,0.01,1,0.088,Restaurants status: Dine-in allowed with restrictions
Anderson County  SC,South Carolina,No,120,-0.26,-0.2,0.063,Restaurants status: Indoor dining allowed with restrictions
Greene County  OH,Ohio,Yes,144,0.12,-1,0.141,Restaurants status: Dine-in allowed with restrictions
Washington County  MD,Maryland,Yes,156,-0.21,2,0.084,Restaurants status: Dine-in allowed with restrictions
Schenectady County  NY,New York,Yes,151,-0.13,1,0.026,Restaurants status: Dine-in allowed with restrictions
Barry County  MI,Michigan,Yes,377,0.15,-0.5,0.182,Restaurants status: Dine-in allowed with restrictions
Bonneville County  ID,Idaho,No,194,-0.34,0,0.126,Restaurants status: Dine-in allowed with restrictions
Adams County  PA,Pennsylvania,Yes,222,-0.19,-0.67,0.113,Restaurants status: Dine-in allowed without restrictions
Blair County  PA,Pennsylvania,Yes,188,0.25,1,0.077,Restaurants status: Dine-in allowed without restrictions
Trumbull County  OH,Ohio,Yes,115,-0.03,-1,0.072,Restaurants status: Dine-in allowed with restrictions
Berkeley County  SC,South Carolina,No,100,-0.2,0.33,0.085,Restaurants status: Indoor dining allowed with restrictions
Carroll County  MD,Maryland,Yes,134,-0.09,2,0.065,Restaurants status: Dine-in allowed with restrictions
Leon County  FL,Florida,No,77,0.03,-0.25,0.029,Restaurants status: Dine-in allowed with restrictions
Mecosta County  MI,Michigan,Yes,518,0.68,-0.5,0.212,Restaurants status: Dine-in allowed with restrictions
Rock County  WI,Wisconsin,No,137,0.11,-0.25,0.066,Restaurants status: Dine-in allowed with restrictions
Martin County  FL,Florida,No,137,0.14,3,0.066,Restaurants status: Dine-in allowed with restrictions
LaPorte County  IN,Indiana,No,199,0,-1,0.115,Restaurants status: Dine-in allowed with restrictions
Gaston County  NC,North Carolina,Yes,98,-0.27,-1,0.066,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Brazos County  TX,Texas,No,96,-0.91,2.5,0.062,Restaurants status: Dine-in allowed without restrictions
Fayette County  KY,Kentucky,Yes,67,-0.28,0,0.021,Restaurants status: Dine-in allowed without restrictions
Portage County  OH,Ohio,Yes,134,-0.11,-1,0.191,Restaurants status: Dine-in allowed with restrictions
Cleveland County  OK,Oklahoma,No,77,-0.01,3.81,0.03,Restaurants status: Dine-in allowed without restrictions
Alamance County  NC,North Carolina,Yes,128,-0.25,-0.25,0.062,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Clay County  MN,Minnesota,Yes,336,0.23,-1,0.087,Restaurants status: Dine-in allowed with restrictions
Madison County  IL,Illinois,Yes,82,-0.27,-0.67,0.053,Restaurants status: Dine-in allowed with restrictions
Ontario County  NY,New York,Yes,197,0.5,-1,0.038,Restaurants status: Dine-in allowed with restrictions
Medina County  OH,Ohio,Yes,120,-0.11,-1,0.199,Restaurants status: Dine-in allowed with restrictions
Bradford County  PA,Pennsylvania,Yes,353,0.53,0,0.169,Restaurants status: Dine-in allowed without restrictions
St. Croix County  WI,Wisconsin,No,233,0.4,-1,0.076,Restaurants status: Dine-in allowed with restrictions
Wood County  OH,Ohio,Yes,161,0.09,-1,0.173,Restaurants status: Dine-in allowed with restrictions
Berkshire County  MA,Massachusetts,Yes,169,-0.19,0,0.018,Restaurants status: Dine-in allowed with restrictions
Deschutes County  OR,Oregon,Yes,107,0.67,-1,0.043,Restaurants status: Dine-in allowed with restrictions
